Date,Category,Value,Product,Sales,Region
2023-01-01,A,28,Product1,754,East
2023-01-02,B,39,Product3,110,North
2023-01-03,C,32,Product2,398,East
2023-01-04,B,8,Product1,522,East
2023-01-05,B,26,Product3,869,North
2023-01-06,B,54,Product3,192,West
2023-01-07,A,16,Product1,936,East
2023-01-08,C,89,Product1,488,West
2023-01-09,C,37,Product3,772,West
2023-01-10,A,22,Product2,834,West
2023-01-11,B,7,Product1,842,North
2023-01-12,B,60,Product2,,West
2023-01-13,A,70,Product3,628,South
2023-01-14,A,69,Product1,423,East
2023-01-15,A,47,Product2,893,West
2023-01-16,C,,Product1,895,North
2023-01-17,C,93,Product2,511,South
2023-01-18,C,,Product1,108,West
2023-01-19,A,31,Product1,247,
2023-01-20,A,59,Product1,736,East
2023-01-21,B,74,Product2,615,South
2023-01-22,C,15,Product3,332,North
2023-01-23,A,44,,764,West
2023-01-24,B,91,Product2,245,East
2023-01-25,C,33,Product1,856,South
2023-01-26,A,18,Product3,475,West
2023-01-27,B,67,Product2,583,North
2023-01-28,C,82,Product1,921,East
2023-01-29,A,24,Product3,310,South
2023-01-30,B,49,Product2,650,West
2023-01-31,C,76,Product1,714,North
2023-02-01,A,58,Product2,488,East
2023-02-02,B,12,Product3,902,South
2023-02-03,C,35,Product1,,West
2023-02-04,A,87,Product2,543,North
2023-02-05,B,43,Product3,281,East
2023-02-06,C,27,Product2,699,South
2023-02-07,A,66,Product1,348,West
2023-02-08,B,55,,812,North
2023-02-09,C,20,Product3,164,East
2023-02-10,A,79,Product2,901,South
2023-02-11,B,46,Product1,422,West
2023-02-12,C,11,Product3,637,North
2023-02-13,A,94,Product2,980,East
2023-02-14,B,53,Product1,358,South
2023-02-15,C,30,Product3,705,West
2023-02-16,A,,Product2,416,North
2023-02-17,B,25,Product1,892,East
2023-02-18,C,73,Product2,550,
2023-02-19,A,48,Product3,278,South
2023-02-20,B,90,Product1,961,West
2023-02-21,C,17,Product2,315,North
2023-02-22,A,64,Product3,688,East
2023-02-23,B,41,Product1,572,South
2023-02-24,C,84,Product2,823,West
2023-02-25,A,36,Product3,299,North
2023-02-26,B,57,Product1,764,East
2023-02-27,C,29,Product2,451,South
2023-02-28,A,81,Product3,988,West
2023-03-01,B,22,Product1,375,North
2023-03-02,C,69,Product2,612,East
2023-03-03,A,38,,534,South
2023-03-04,B,95,Product3,827,West
2023-03-05,C,14,Product1,256,North
2023-03-06,A,61,Product2,743,East
2023-03-07,B,52,Product3,591,South
2023-03-08,C,40,Product1,879,West
2023-03-09,A,75,Product2,,North
2023-03-10,B,19,Product3,446,East
2023-03-11,C,88,Product1,931,South
2023-03-12,A,34,Product2,507,West
2023-03-13,B,71,Product3,663,North
2023-03-14,C,26,Product1,387,East
2023-03-15,A,92,Product2,995,South
2023-03-16,B,,Product3,472,West
2023-03-17,C,45,Product1,618,North
2023-03-18,A,13,Product2,281,East
2023-03-19,B,63,Product3,852,South
2023-03-20,C,50,Product1,534,West
2023-03-21,A,97,Product2,907,North
2023-03-22,B,21,Product3,346,East
2023-03-23,C,77,Product1,690,South
2023-03-24,A,56,Product2,498,West
2023-03-25,B,32,Product3,754,North
2023-03-26,C,85,Product1,940,East
2023-03-27,A,23,Product2,365,South
2023-03-28,B,68,Product3,603,West
2023-03-29,C,42,Product1,786,North
2023-03-30,A,99,Product2,999,East
2023-03-31,B,27,Product3,429,South
2023-04-01,C,59,Product1,680,West
2023-04-02,A,16,Product2,245,North
2023-04-03,B,83,Product3,917,East
2023-04-04,C,37,Product1,562,South
2023-04-05,A,72,Product2,814,West
2023-04-06,B,51,Product3,,North
2023-04-07,C,24,Product1,339,East
2023-04-08,A,65,Product2,777,South
2023-04-09,B,47,Product3,588,West
2023-04-10,C,80,Product1,905,North
